[INFO] GET / 200 in 4ms
[INFO] GET /@vite/client 304 in 1ms
[INFO] GET /src/main.tsx 304 in 1ms
[INFO] GET /@react-refresh 304 in 1ms
[INFO] GET /@vite-plugin-checker-runtime 304 in 0ms
[INFO] GET /@fs/home/runner/PodCasterella/node_modules/vite/dist/client/env.mjs 304 in 0ms
[INFO] GET /src/index.css 304 in 1ms
[INFO] GET /src/components/ui/toaster.tsx 304 in 1ms
[INFO] GET /src/pages/AuthPage.tsx 304 in 0ms
[INFO] GET /src/pages/LibraryPage.tsx 304 in 0ms
[INFO] GET /src/pages/PricingPage.tsx 304 in 0ms
[INFO] GET /src/pages/BillingPage.tsx 304 in 1ms
[INFO] GET /src/pages/ProfilePage.tsx 304 in 0ms
[INFO] GET /src/pages/HomePage.tsx 304 in 0ms
[INFO] GET /src/lib/queryClient.ts 304 in 1ms
[INFO] GET /src/pages/AdminPage.tsx 304 in 0ms
[INFO] GET /src/hooks/use-user.ts 304 in 0ms
[INFO] GET /src/components/ui/button.tsx 304 in 0ms
[INFO] GET /src/components/Sidebar.tsx 304 in 1ms
[INFO] GET /src/pages/ForgotPasswordPage.tsx 304 in 0ms
[INFO] GET /src/components/ui/toast.tsx 304 in 0ms
[INFO] GET /src/hooks/use-toast.ts 304 in 0ms
[INFO] GET /src/components/ui/form.tsx 304 in 1ms
[INFO] GET /src/hooks/use-audio.ts 304 in 0ms
[INFO] GET /@fs/home/runner/PodCasterella/db/schema.ts 304 in 0ms
[INFO] GET /src/components/AudioPlayer.tsx 304 in 1ms
[INFO] GET /src/components/ui/alert-dialog.tsx 304 in 1ms
[INFO] GET /src/components/ui/input.tsx 304 in 0ms
[INFO] GET /src/lib/utils.ts 304 in 1ms
[INFO] GET /src/components/LoadingScreen.tsx 304 in 1ms
[INFO] GET /src/components/ui/separator.tsx 304 in 0ms
[INFO] GET /src/components/ui/avatar.tsx 304 in 0ms
[INFO] GET /src/components/PaymentModal.tsx 304 in 0ms
[INFO] GET /src/components/ui/card.tsx 304 in 1ms
[INFO] GET /src/hooks/use-tts.ts 304 in 1ms
[INFO] GET /src/components/UsageProgress.tsx 304 in 0ms
[INFO] GET /src/components/Logo.tsx 304 in 0ms
[INFO] GET /src/components/ui/collapsible.tsx 304 in 0ms
[INFO] GET /src/components/ui/tabs.tsx 304 in 1ms
[INFO] GET /src/components/ui/scroll-area.tsx 304 in 1ms
[INFO] GET /src/components/ui/label.tsx 304 in 1ms
[INFO] GET /src/components/ui/popover.tsx 304 in 1ms
[INFO] GET /src/components/ui/slider.tsx 304 in 1ms
[INFO] GET /src/components/ui/select.tsx 304 in 0ms
[INFO] GET /src/components/ui/dialog.tsx 304 in 1ms
[INFO] GET /src/components/ui/progress.tsx 304 in 1ms
[INFO] GET /api/user 401 in 0ms
[INFO] GET / 200 in 3ms
[INFO] POST /api/login 200 in 420ms
[INFO] GET /api/user 304 in 62ms
[INFO] GET / 200 in 121ms
[INFO] GET / 200 in 188ms
[INFO] GET /api/podcasts 304 in 290ms
[INFO] GET /api/playlists 304 in 310ms
[INFO] GET / 200 in 64ms
[INFO] 
========Streaming audio file: 1735659091645-article.mp3
[WARN] File not found in Object Storage: 1735659091645-article.mp3
[INFO] HEAD /api/audio/stream/1735659091645-article.mp3 404 in 169ms
